timestamp,open,high,low,close,volume,date
1677600000000,23511.1,23592.8,23195.1,23251.0,90462.656,2023-02-28 16:00:00+00:00
1677614400000,23251.1,23333.4,23010.0,23129.6,100091.302,2023-02-28 20:00:00+00:00
1677628800000,23129.7,23488.2,23008.4,23431.6,94869.432,2023-03-01 00:00:00+00:00
1677643200000,23431.6,23852.6,23414.8,23709.6,119744.837,2023-03-01 04:00:00+00:00
1677657600000,23709.6,24022.7,23670.3,23736.8,87997.318,2023-03-01 08:00:00+00:00
1677672000000,23736.9,23880.0,23558.0,23702.8,137452.515,2023-03-01 12:00:00+00:00
1677686400000,23702.9,23739.0,23316.3,23342.9,97637.359,2023-03-01 16:00:00+00:00
1677700800000,23342.8,23667.5,23281.6,23619.8,79548.85,2023-03-01 20:00:00+00:00
1677715200000,23619.8,23790.5,23414.1,23487.1,66503.537,2023-03-02 00:00:00+00:00
1677729600000,23487.1,23535.9,23325.0,23381.9,49671.496,2023-03-02 04:00:00+00:00
1677744000000,23381.8,23460.0,23326.3,23405.6,48950.758,2023-03-02 08:00:00+00:00
1677758400000,23405.7,23422.8,23183.0,23350.3,124403.213,2023-03-02 12:00:00+00:00
1677772800000,23350.3,23497.0,23222.1,23456.6,77176.896,2023-03-02 16:00:00+00:00
1677787200000,23456.7,23560.0,23372.2,23457.1,52550.701,2023-03-02 20:00:00+00:00
1677801600000,23457.1,23468.5,21883.2,22306.3,265796.815,2023-03-03 00:00:00+00:00
1677816000000,22306.4,22399.0,22234.0,22347.8,58370.469,2023-03-03 04:00:00+00:00
1677830400000,22347.8,22474.0,22300.0,22333.9,48913.566,2023-03-03 08:00:00+00:00
1677844800000,22333.9,22495.2,22120.1,22323.9,111464.429,2023-03-03 12:00:00+00:00
1677859200000,22324.0,22437.9,22217.2,22348.3,64926.046,2023-03-03 16:00:00+00:00
1677873600000,22348.3,22366.0,22126.0,22342.8,59046.812,2023-03-03 20:00:00+00:00
1677888000000,22342.8,22379.2,22312.1,22339.4,24078.215,2023-03-04 00:00:00+00:00
1677902400000,22339.4,22400.0,22262.2,22346.6,29930.134,2023-03-04 04:00:00+00:00
1677916800000,22346.6,22367.4,22311.0,22338.1,17632.287,2023-03-04 08:00:00+00:00
1677931200000,22338.0,22390.0,22292.9,22306.3,22528.758,2023-03-04 12:00:00+00:00
1677945600000,22306.2,22335.5,22204.0,22238.7,29511.608,2023-03-04 16:00:00+00:00
1677960000000,22238.7,22358.5,22147.5,22335.7,51628.209,2023-03-04 20:00:00+00:00
1677974400000,22335.8,22650.0,22174.9,22374.2,113479.717,2023-03-05 00:00:00+00:00
1677988800000,22374.2,22461.8,22354.2,22365.2,30140.514,2023-03-05 04:00:00+00:00
1678003200000,22365.2,22439.6,22302.0,22380.1,31592.0,2023-03-05 08:00:00+00:00
1678017600000,22380.1,22480.0,22380.1,22424.4,32097.491,2023-03-05 12:00:00+00:00
1678032000000,22424.5,22450.6,22357.0,22394.0,21185.383,2023-03-05 16:00:00+00:00
1678046400000,22394.0,22555.0,22310.0,22419.4,53766.64,2023-03-05 20:00:00+00:00
1678060800000,22419.3,22499.4,22240.1,22378.0,65552.847,2023-03-06 00:00:00+00:00
1678075200000,22378.0,22429.6,22306.0,22380.9,27604.231,2023-03-06 04:00:00+00:00
1678089600000,22380.9,22443.9,22345.3,22370.0,29029.706,2023-03-06 08:00:00+00:00
1678104000000,22369.9,22594.5,22348.0,22543.6,69925.596,2023-03-06 12:00:00+00:00
1678118400000,22543.6,22576.1,22350.0,22382.8,72720.927,2023-03-06 16:00:00+00:00
1678132800000,22382.9,22437.5,22307.9,22397.1,34143.09,2023-03-06 20:00:00+00:00
1678147200000,22397.1,22550.0,22364.2,22449.1,38691.872,2023-03-07 00:00:00+00:00
1678161600000,22449.1,22467.8,22402.5,22408.4,18027.854,2023-03-07 04:00:00+00:00
1678176000000,22408.5,22419.7,22303.3,22339.8,42943.905,2023-03-07 08:00:00+00:00
1678190400000,22339.8,22482.6,21908.0,22307.5,241400.376,2023-03-07 12:00:00+00:00
1678204800000,22307.6,22387.6,22039.0,22118.6,111947.459,2023-03-07 16:00:00+00:00
1678219200000,22118.5,22223.4,21929.0,22187.1,95482.633,2023-03-07 20:00:00+00:00
